date,industry_a_usage
2020/5/5,17.407078026
2020/5/6,17.655398561
2020/5/7,17.670644584999998
2020/5/8,17.91210996
2020/5/9,17.810717084
2020/5/10,18.567647738
2020/5/11,19.609659823
2020/5/12,19.226194432
2020/5/13,20.094014731
2020/5/14,20.143719372
2020/5/15,20.417707771
2020/5/16,20.990658512
2020/5/17,21.262301343
2020/5/18,20.603126767
2020/5/19,21.9243013
2020/5/20,21.553450309
2020/5/21,21.292111569
2020/5/22,20.904882918
2020/5/23,21.036521963
2020/5/24,21.785367716
2020/5/25,22.008137074
2020/5/26,21.08689795
2020/5/27,20.861856885999998
2020/5/28,20.648210237
2020/5/29,21.409943088
2020/5/30,21.9945346
2020/5/31,22.063687522
2020/6/1,22.898754412
2020/6/2,22.64668297
2020/6/3,22.145474825
2020/6/4,22.724779447
2020/6/5,22.566156047
2020/6/6,22.856506726
2020/6/7,23.323767029
2020/6/8,23.168479721
2020/6/9,22.966679307
2020/6/10,23.421858295
2020/6/11,23.248510528
2020/6/12,23.469159899
2020/6/13,24.028704113
2020/6/14,24.508755857
2020/6/15,24.972144424
2020/6/16,25.88175317
2020/6/17,25.893820221
2020/6/18,25.901296652
2020/6/19,26.43175188
2020/6/20,26.578881984
2020/6/21,26.636025594
2020/6/22,26.685584042000002
2020/6/23,26.697354097999998
2020/6/24,26.413603936
2020/6/25,25.927477226
2020/6/26,25.803137612
2020/6/27,26.144900218
2020/6/28,26.072556348
2020/6/29,26.356115697
2020/6/30,27.002380793
2020/7/1,26.689568585
2020/7/2,27.336507134999998
2020/7/3,28.066045389
2020/7/4,27.687891885
2020/7/5,27.483224614
2020/7/6,27.418924005
2020/7/7,27.128664412
2020/7/8,26.807820378
2020/7/9,26.324806325
2020/7/10,26.690595340999998
2020/7/11,27.267089003
2020/7/12,26.929260834
2020/7/13,26.61230289
2020/7/14,26.712952966
2020/7/15,25.944557645
2020/7/16,26.43194374
2020/7/17,25.779301024
2020/7/18,25.300540866
2020/7/19,24.350534858
2020/7/20,24.224824184
2020/7/21,24.388762912
2020/7/22,25.841255015
2020/7/23,25.740828856
2020/7/24,26.247157781
2020/7/25,26.701764413
2020/7/26,26.669298079
2020/7/27,26.707778398000002
2020/7/28,26.836246497
2020/7/29,26.674550716
2020/7/30,26.355189738
2020/7/31,27.167463445
2020/8/1,27.971463246
2020/8/2,27.807033348
2020/8/3,28.211825931
2020/8/4,28.905107587
2020/8/5,28.029436957
2020/8/6,28.323775050000002
2020/8/7,28.756586661
2020/8/8,29.255547455
2020/8/9,29.558460809
2020/8/10,28.456609341
2020/8/11,28.554603646
2020/8/12,29.252988871
2020/8/13,30.320086959999998
2020/8/14,30.539484690000002
2020/8/15,29.660169759
2020/8/16,30.55901525
2020/8/17,29.813863562
2020/8/18,29.054149314
2020/8/19,29.649895178
2020/8/20,29.635634240999998
2020/8/21,29.180901212000002
2020/8/22,28.715351343000002
2020/8/23,28.574774821
2020/8/24,28.155819299999997
2020/8/25,29.027568253
2020/8/26,29.752532347
2020/8/27,29.974808294
2020/8/28,31.00249741
2020/8/29,31.54224026
2020/8/30,31.28739276
2020/8/31,31.205207010000002
2020/9/1,30.90035894
2020/9/2,30.67619178
2020/9/3,29.731238255999997
2020/9/4,30.31191419
2020/9/5,28.86929837
2020/9/6,29.875239995
2020/9/7,29.663413632999998
2020/9/8,29.665913232
2020/9/9,29.834943228
2020/9/10,30.56892996
2020/9/11,30.36887876
2020/9/12,30.861922
2020/9/13,29.993166858000002
2020/9/14,30.29854012
2020/9/15,29.460951097
2020/9/16,29.337727056
2020/9/17,28.770654045
2020/9/18,29.075150288
2020/9/19,28.282811963
2020/9/20,27.77957281
2020/9/21,27.760548091
2020/9/22,28.459031335
2020/9/23,28.028637511
2020/9/24,28.215183664
2020/9/25,28.310064448
2020/9/26,28.511752337
2020/9/27,27.509180668
2020/9/28,27.251315541
2020/9/29,27.181625096
2020/9/30,27.787090107
2020/10/1,27.686216418
2020/10/2,26.965295304999998
2020/10/3,27.439776842
2020/10/4,27.527291145
2020/10/5,27.380818668
2020/10/6,27.080034144
2020/10/7,26.07318571
2020/10/8,26.185331704
2020/10/9,26.055528176
2020/10/10,25.854205272
2020/10/11,25.603745587
2020/10/12,25.567385623
2020/10/13,25.244470201
2020/10/14,25.004389971000002
2020/10/15,25.213165635
2020/10/16,25.077545696999998
2020/10/17,25.016557025
2020/10/18,25.394627573
2020/10/19,24.916466863
2020/10/20,24.990584028
2020/10/21,25.617238037
2020/10/22,25.454882413
2020/10/23,25.797221229999998
2020/10/24,26.300806129
2020/10/25,25.734543754
2020/10/26,25.575387959
2020/10/27,25.679721737999998
2020/10/28,26.223906932
2020/10/29,26.455121861000002
2020/10/30,27.428968583
2020/10/31,27.199465131
2020/11/1,26.823379846
2020/11/2,26.442098847
2020/11/3,26.928345193
2020/11/4,26.388858522
2020/11/5,25.954502479
2020/11/6,25.809283255
2020/11/7,24.573335907
2020/11/8,24.47345807
2020/11/9,25.202068641
2020/11/10,25.446010687
2020/11/11,24.661692619
2020/11/12,24.532300413
2020/11/13,24.115096297
2020/11/14,24.819418079000002
2020/11/15,24.693690549
2020/11/16,25.783833077
2020/11/17,25.075940019
2020/11/18,25.529969746
2020/11/19,25.426971048
2020/11/20,25.648134358
2020/11/21,25.354414676
2020/11/22,24.397679559
2020/11/23,24.432424646
2020/11/24,25.187866163
2020/11/25,24.94746091
2020/11/26,25.061780591999998
2020/11/27,25.791409918
2020/11/28,26.292295806
2020/11/29,26.342236158
2020/11/30,26.676927286
2020/12/1,26.820877982
2020/12/2,26.872096379
2020/12/3,26.908931821
2020/12/4,27.1092742
2020/12/5,27.152169360000002
2020/12/6,28.12637316
2020/12/7,28.333310113
2020/12/8,27.560533689
2020/12/9,27.021712404
2020/12/10,27.496864197
2020/12/11,27.831455826
2020/12/12,28.060325935
2020/12/13,27.918538971
2020/12/14,26.962198169
2020/12/15,26.436828385
2020/12/16,26.284567623
2020/12/17,25.998309094
2020/12/18,26.93029049
2020/12/19,27.173526908
2020/12/20,27.508430562
2020/12/21,27.785632535
2020/12/22,28.308790207
2020/12/23,28.076895657999998
2020/12/24,27.685575294
2020/12/25,28.249412909
2020/12/26,28.926679501000002
2020/12/27,29.284441881
2020/12/28,29.603171459000002
2020/12/29,29.322739892999998
2020/12/30,28.941078375
2020/12/31,29.216394065
2021/1/1,29.951509968
2021/1/2,29.878349759000002
2021/1/3,30.79916893
2021/1/4,30.8657361
2021/1/5,31.93065137
2021/1/6,32.00506421
2021/1/7,32.03335869
2021/1/8,32.29435531
2021/1/9,32.332120090000004
2021/1/10,30.98581115
2021/1/11,31.40077009
2021/1/12,31.284168270000002
2021/1/13,30.87486112
2021/1/14,30.422703040000002
2021/1/15,31.78911884
2021/1/16,32.30980127
2021/1/17,32.73248547
2021/1/18,33.54400669
2021/1/19,34.13785856
2021/1/20,33.92399869
2021/1/21,33.77345512
2021/1/22,33.974301499999996
2021/1/23,33.32374524
2021/1/24,34.41986665
2021/1/25,33.787951559999996
2021/1/26,33.55425792
2021/1/27,33.50956669
2021/1/28,32.72659314
2021/1/29,32.27944627
2021/1/30,32.02381279
2021/1/31,31.527569059999998
2021/2/1,30.91144014
2021/2/2,31.17356592
2021/2/3,31.584532109999998
2021/2/4,31.6240804
2021/2/5,32.156303460000004
2021/2/6,32.34331022
2021/2/7,31.9975469
2021/2/8,32.94588895
2021/2/9,33.80160511
2021/2/10,33.569024479999996
2021/2/11,33.23341071
2021/2/12,32.86090633
2021/2/13,32.06601584
2021/2/14,33.40172521
2021/2/15,33.75733821
2021/2/16,33.44842871
2021/2/17,33.0082559
2021/2/18,33.12566389
2021/2/19,33.30727048
2021/2/20,32.85134049
2021/2/21,32.78353086
2021/2/22,33.41064867
2021/2/23,34.34675578
2021/2/24,33.40650281
2021/2/25,33.53040857
2021/2/26,33.551827689999996
2021/2/27,33.53626709
2021/2/28,33.80560786
2021/3/1,33.259708520000004
2021/3/2,33.719810179999996
2021/3/3,33.43916066
2021/3/4,33.03103565
2021/3/5,31.292144399999998
2021/3/6,30.48367705
2021/3/7,30.156921609999998
2021/3/8,29.584062136
2021/3/9,30.54452612
2021/3/10,30.98443764
2021/3/11,31.26956029
2021/3/12,31.73566593
2021/3/13,30.88541481
2021/3/14,30.38833819
2021/3/15,30.35064235
2021/3/16,30.33165338
2021/3/17,29.067713093000002
2021/3/18,29.034648541
2021/3/19,28.308412974
2021/3/20,28.551182726
2021/3/21,27.723344234
2021/3/22,28.180596112
2021/3/23,28.256967462
2021/3/24,28.377278416
2021/3/25,28.190565691
2021/3/26,28.212844591
2021/3/27,27.34266887
2021/3/28,27.783289293
2021/3/29,28.376654777
2021/3/30,27.484957033
2021/3/31,27.423257783
2021/4/1,26.714735185000002
2021/4/2,26.863735769999998
2021/4/3,27.512511191
2021/4/4,28.067164925
2021/4/5,27.289200406
2021/4/6,27.599555467000002
2021/4/7,27.780867133
2021/4/8,26.601520704000002
2021/4/9,26.659008975
2021/4/10,26.74493283
2021/4/11,27.265814164
2021/4/12,27.253923616999998
2021/4/13,27.346824898
2021/4/14,27.1362562
2021/4/15,27.946718515
2021/4/16,28.082056757
2021/4/17,28.907225398999998
2021/4/18,29.034111432
2021/4/19,29.510171841000002
2021/4/20,30.10138981
2021/4/21,30.73961354
2021/4/22,30.35367452
2021/4/23,31.01330502
2021/4/24,31.25856736
2021/4/25,30.53175557
2021/4/26,31.664734250000002
2021/4/27,31.13479387
2021/4/28,30.663218309999998
2021/4/29,30.261244400000002
2021/4/30,29.753296292
2021/5/1,29.261716444999998
2021/5/2,29.2451619
2021/5/3,29.513237461
2021/5/4,29.599224862
2021/5/5,30.435847109999997
2021/5/6,30.740359339999998
2021/5/7,31.095038690000003
2021/5/8,31.26970911
2021/5/9,31.29572711
2021/5/10,30.505674470000002
2021/5/11,29.699761326999997
2021/5/12,29.377298277999998
2021/5/13,28.984051075
2021/5/14,28.796999374000002
2021/5/15,28.779748828000002
2021/5/16,28.326165633000002
2021/5/17,28.421863866000002
2021/5/18,28.012367721
2021/5/19,27.059192471
2021/5/20,27.136815137
2021/5/21,26.5605733
2021/5/22,26.681595534
2021/5/23,27.470463749
2021/5/24,26.65302968
2021/5/25,26.578604492
2021/5/26,26.050699024
2021/5/27,26.316630521
2021/5/28,26.650770202
2021/5/29,25.807375039
2021/5/30,26.660294569999998
2021/5/31,27.133938569
2021/6/1,27.513968749
2021/6/2,27.247136103
2021/6/3,27.175422825
2021/6/4,26.830546068
2021/6/5,27.514490062
2021/6/6,27.226308364
2021/6/7,27.586295686
2021/6/8,28.373721275999998
2021/6/9,28.212610182
2021/6/10,28.492141744999998
2021/6/11,27.918959322
2021/6/12,27.992715492000002
2021/6/13,27.660234186
2021/6/14,27.862928398
2021/6/15,26.492669710999998
2021/6/16,26.926809505
2021/6/17,26.933176453999998
2021/6/18,26.918440466
2021/6/19,27.186544766
2021/6/20,27.007629977
2021/6/21,26.17725981
2021/6/22,26.373084676
2021/6/23,26.861347261
2021/6/24,28.054282579000002
2021/6/25,27.147940005
2021/6/26,27.984914672000002
2021/6/27,27.823786587
2021/6/28,28.326251949
2021/6/29,28.690938027
2021/6/30,28.814949706
2021/7/1,29.207909985
2021/7/2,29.673338530000002
2021/7/3,29.709977467
2021/7/4,28.563640484
2021/7/5,29.078053886
2021/7/6,28.341665710999997
2021/7/7,28.464904187000002
2021/7/8,27.705525506
2021/7/9,28.045362633
2021/7/10,27.673116327
2021/7/11,28.34101106
2021/7/12,28.242999983
2021/7/13,28.089693087
2021/7/14,28.039312070999998
2021/7/15,27.973694807
2021/7/16,28.109108984000002
2021/7/17,29.175711954
2021/7/18,29.577934619
2021/7/19,28.951579184
2021/7/20,28.888377992000002
2021/7/21,27.914582876
2021/7/22,27.805782917000002
2021/7/23,28.201511122
2021/7/24,27.911097669
2021/7/25,28.771514105
2021/7/26,28.794578722
2021/7/27,29.798993601
2021/7/28,29.476876869
2021/7/29,29.083117439
2021/7/30,28.901990163
2021/7/31,28.99649376
2021/8/1,28.44949497
2021/8/2,28.861682609
2021/8/3,28.675637938999998
2021/8/4,28.840195379
2021/8/5,28.952999442
2021/8/6,29.047065218
2021/8/7,29.600097495
2021/8/8,29.34666316
2021/8/9,29.598674135
2021/8/10,30.00085608
2021/8/11,29.502224702
2021/8/12,29.120190944999997
2021/8/13,29.650580202
2021/8/14,29.645977631
2021/8/15,29.533143246
2021/8/16,29.130538269
2021/8/17,29.129996172
2021/8/18,28.841660476
2021/8/19,28.979013719999998
2021/8/20,29.233863980000002
2021/8/21,29.808122166
2021/8/22,29.730050251
