date,industry_b_usage
2020/4/18,20.202379543
2020/4/19,20.18038761
2020/4/20,19.892458425
2020/4/21,19.36840113
2020/4/22,19.093372597
2020/4/23,19.154765529
2020/4/24,18.273689638
2020/4/25,17.559481503
2020/4/26,17.930509591
2020/4/27,17.829451139
2020/4/28,18.043618279
2020/4/29,19.247907559
2020/4/30,18.719754411
2020/5/1,19.290317244
2020/5/2,19.255439027
2020/5/3,19.300889462
2020/5/4,19.865730997
2020/5/5,20.287240499
2020/5/6,20.666467141
2020/5/7,20.695492409
2020/5/8,21.007835072
2020/5/9,20.597447507
2020/5/10,21.633092321
2020/5/11,22.640779982
2020/5/12,22.249822061
2020/5/13,23.137513991
2020/5/14,23.008499153
2020/5/15,23.173767395
2020/5/16,23.676149406
2020/5/17,23.990320671
2020/5/18,23.960276204
2020/5/19,24.88267784
2020/5/20,24.192533261
2020/5/21,24.523198801
2020/5/22,23.986608166
2020/5/23,23.66784012
2020/5/24,24.708345948
2020/5/25,25.038935388
2020/5/26,24.401496689
2020/5/27,23.848909303
2020/5/28,23.927788585
2020/5/29,24.436330574
2020/5/30,25.16975063
2020/5/31,25.052439968
2020/6/1,25.930576735
2020/6/2,25.674253412
2020/6/3,24.841117688
2020/6/4,25.765166799
2020/6/5,25.594422636
2020/6/6,25.857358799
2020/6/7,26.468464405
2020/6/8,26.338091087
2020/6/9,26.03439033
2020/6/10,26.210353697
2020/6/11,26.409911149
2020/6/12,26.511824159
2020/6/13,26.882675408
2020/6/14,27.318555071
2020/6/15,27.967199958
2020/6/16,28.988108021
2020/6/17,28.803282957
2020/6/18,29.159642585
2020/6/19,29.618625728
2020/6/20,29.522663709
2020/6/21,29.469928342
2020/6/22,29.571447004
2020/6/23,29.487546185
2020/6/24,29.052770806
2020/6/25,29.205857313
2020/6/26,29.013727743
2020/6/27,29.137117291
2020/6/28,28.806918913
2020/6/29,29.287150756000003
2020/6/30,29.969883264
2020/7/1,29.579490669
2020/7/2,30.39334844
2020/7/3,30.94495591
2020/7/4,30.63686094
2020/7/5,30.53518117
2020/7/6,30.07140367
2020/7/7,29.972899055
2020/7/8,30.09897437
2020/7/9,29.074430132
2020/7/10,29.416105056
2020/7/11,30.16678887
2020/7/12,29.733686297
2020/7/13,29.497860282
2020/7/14,29.910830097
2020/7/15,29.296217548
2020/7/16,29.579106186
2020/7/17,29.02822468
2020/7/18,28.193029492
2020/7/19,27.612502649
2020/7/20,27.106626886
2020/7/21,27.230770591
2020/7/22,28.623811782
2020/7/23,28.736880657
2020/7/24,29.125205445
2020/7/25,29.605637611
2020/7/26,29.427085462
2020/7/27,29.889803996
2020/7/28,30.10681657
2020/7/29,29.865705979
2020/7/30,29.283529071
2020/7/31,30.19116599
2020/8/1,30.93511623
2020/8/2,30.73194553
2020/8/3,31.63806596
2020/8/4,31.96249254
2020/8/5,31.14527408
2020/8/6,31.28531725
2020/8/7,31.78847935
2020/8/8,32.534087830000004
2020/8/9,32.41866888
2020/8/10,31.51534105
2020/8/11,31.36176388
2020/8/12,32.44340224
2020/8/13,33.37537502
2020/8/14,33.28199569
2020/8/15,32.6274969
2020/8/16,33.60386007
2020/8/17,32.62542513
2020/8/18,32.29120108
2020/8/19,32.81479619
2020/8/20,32.44270836
2020/8/21,32.19355043
2020/8/22,31.84413386
2020/8/23,31.52932399
2020/8/24,31.23137791
2020/8/25,32.23161816
2020/8/26,32.69194926
2020/8/27,32.64331835
2020/8/28,33.82900776
2020/8/29,34.59092375
2020/8/30,34.25518914
2020/8/31,34.3446757
2020/9/1,34.04583685
2020/9/2,34.00922261
2020/9/3,32.82453622
2020/9/4,33.16259704
2020/9/5,31.92024774
2020/9/6,32.91943887
2020/9/7,32.29914554
2020/9/8,32.42456622
2020/9/9,33.27375634
2020/9/10,33.4895214
2020/9/11,33.52441689
2020/9/12,33.78585111
2020/9/13,32.98846201
2020/9/14,33.20345403
2020/9/15,32.53424891
2020/9/16,32.295241000000004
2020/9/17,31.68304538
2020/9/18,32.15275346
2020/9/19,31.21491829
2020/9/20,30.89670406
2020/9/21,31.00845293
2020/9/22,31.56163024
2020/9/23,30.9543909
2020/9/24,31.24941201
2020/9/25,31.38297507
2020/9/26,31.14546766
2020/9/27,30.48739893
2020/9/28,30.1653723
2020/9/29,30.09730266
2020/9/30,30.67350723
2020/10/1,30.59031711
2020/10/2,29.959913395
2020/10/3,30.551340850000003
2020/10/4,30.08051977
2020/10/5,30.05813584
2020/10/6,29.906533323
2020/10/7,29.019052379
2020/10/8,29.562966011
2020/10/9,29.064713828
2020/10/10,29.247128345
2020/10/11,28.738350609
2020/10/12,28.387500003
2020/10/13,27.914088583
2020/10/14,28.419403537
2020/10/15,28.297828324
2020/10/16,28.425104551
2020/10/17,27.999253617
2020/10/18,27.983981045
2020/10/19,27.874368324
2020/10/20,27.946565711
2020/10/21,28.537010932
2020/10/22,28.612896039
2020/10/23,28.804872724
2020/10/24,29.430595817
2020/10/25,28.763980089
2020/10/26,28.964162962
2020/10/27,28.629193513
2020/10/28,29.433885205
2020/10/29,29.410396916
2020/10/30,30.39229327
2020/10/31,30.28004755
2020/11/1,29.521391868
2020/11/2,29.515763848
2020/11/3,30.02554473
2020/11/4,29.009354492
2020/11/5,28.897424728
2020/11/6,28.80869004
2020/11/7,27.211704571
2020/11/8,27.485226316
2020/11/9,28.207340942
2020/11/10,28.673813142
2020/11/11,27.77883902
2020/11/12,27.774803431
2020/11/13,27.43975707
2020/11/14,27.850598986
2020/11/15,27.919309994
2020/11/16,28.571583646
2020/11/17,28.227375779
2020/11/18,28.772997739
2020/11/19,28.581888659
2020/11/20,28.928380973
2020/11/21,28.687771591
2020/11/22,27.61716528
2020/11/23,27.616427937
2020/11/24,27.983416269
2020/11/25,28.094466185
2020/11/26,28.145111003
2020/11/27,28.807323787
2020/11/28,29.128240359
2020/11/29,29.197023493
2020/11/30,29.836648742
2020/12/1,29.669360669
2020/12/2,29.546165134
2020/12/3,30.21984455
2020/12/4,30.51251497
2020/12/5,30.05644142
2020/12/6,31.17616423
2020/12/7,31.26683001
2020/12/8,30.64266109
2020/12/9,30.05930893
2020/12/10,30.52549049
2020/12/11,30.97996251
2020/12/12,31.50078725
2020/12/13,30.80085229
2020/12/14,30.24247197
2020/12/15,29.465623267
2020/12/16,29.705680072
2020/12/17,29.443753134
2020/12/18,29.980172961
2020/12/19,30.24635248
2020/12/20,30.41241278
2020/12/21,30.79352103
2020/12/22,31.57171917
2020/12/23,31.23356543
2020/12/24,30.69768777
2020/12/25,31.21156948
2020/12/26,31.90047702
2020/12/27,32.30292454
2020/12/28,32.64814187
2020/12/29,32.30289656
2020/12/30,31.84417292
2020/12/31,32.27150956
2021/1/1,32.90815231
2021/1/2,33.10080313
2021/1/3,33.93354482
2021/1/4,33.86008728
2021/1/5,35.1269555
2021/1/6,34.81308209
2021/1/7,35.0881955
2021/1/8,35.41796956
2021/1/9,35.29694375
2021/1/10,34.20960891
2021/1/11,34.39243182
2021/1/12,34.47434851
2021/1/13,33.88188696
2021/1/14,33.50862836
2021/1/15,35.20768054
2021/1/16,35.67671731
2021/1/17,36.07062516
2021/1/18,36.30167539
2021/1/19,37.1249691
2021/1/20,37.14961824
2021/1/21,36.828028360000005
2021/1/22,36.827685
2021/1/23,36.3816647
2021/1/24,37.06138587
2021/1/25,36.71479887
2021/1/26,36.654029730000005
2021/1/27,36.271248920000005
2021/1/28,35.62652372
2021/1/29,34.98036974
2021/1/30,34.62489455
2021/1/31,34.34291587
2021/2/1,34.31689403
2021/2/2,34.44544425
2021/2/3,34.61679384
2021/2/4,34.64502201
2021/2/5,35.03670565
2021/2/6,35.3610218
2021/2/7,35.00495751
2021/2/8,35.97169216
2021/2/9,36.57404566
2021/2/10,36.730263480000005
2021/2/11,36.03646866
2021/2/12,35.70083313
2021/2/13,35.27798979
2021/2/14,36.22971434
2021/2/15,36.79534047
2021/2/16,36.348937840000005
2021/2/17,36.44921765
2021/2/18,36.46930677
2021/2/19,36.34878151
2021/2/20,36.06893783
2021/2/21,35.79229394
2021/2/22,36.63946933
2021/2/23,37.36728189
2021/2/24,36.78820609
2021/2/25,36.4520479
2021/2/26,36.7988586
2021/2/27,36.85526979
2021/2/28,36.82722549
2021/3/1,36.33465487
2021/3/2,36.642682
2021/3/3,36.45013374
2021/3/4,35.87492684
2021/3/5,34.48326964
2021/3/6,33.44749138
2021/3/7,33.16488624
2021/3/8,32.88070874
2021/3/9,33.76422517
2021/3/10,34.18716751
2021/3/11,34.23963467
2021/3/12,34.510518680000004
2021/3/13,33.812644410000004
2021/3/14,33.52123825
2021/3/15,33.38454709
2021/3/16,33.28862042
2021/3/17,32.23505994
2021/3/18,32.06582641
2021/3/19,31.35740425
2021/3/20,31.24546012
2021/3/21,30.99409553
2021/3/22,31.39055317
2021/3/23,30.95268458
2021/3/24,31.30413145
2021/3/25,31.66624008
2021/3/26,31.30087593
2021/3/27,30.7205849
2021/3/28,30.6606839
2021/3/29,31.45776463
2021/3/30,30.54920471
2021/3/31,30.31017102
2021/4/1,29.910250055
2021/4/2,29.792945321
2021/4/3,30.50018728
2021/4/4,31.3264032
2021/4/5,30.549153240000003
2021/4/6,30.5602536
2021/4/7,30.32678838
2021/4/8,29.637372359
2021/4/9,29.784534455
2021/4/10,29.349114614
2021/4/11,30.10755844
2021/4/12,30.39848034
2021/4/13,29.993013928
2021/4/14,30.11977552
2021/4/15,30.87953452
2021/4/16,30.95322453
2021/4/17,31.75265225
2021/4/18,32.23416174
2021/4/19,32.68178862
2021/4/20,33.06127074
2021/4/21,33.56130358
2021/4/22,33.58710506
2021/4/23,34.01203956
2021/4/24,33.96165128
2021/4/25,33.83704402
2021/4/26,34.71328462
2021/4/27,34.27164051
2021/4/28,33.74973425
2021/4/29,33.00680392
2021/4/30,32.56059915
2021/5/1,32.22309815
2021/5/2,32.08063502
2021/5/3,32.23369317
2021/5/4,32.66826994
2021/5/5,33.36447384
2021/5/6,33.62890096
2021/5/7,34.43018191
2021/5/8,34.31617554
2021/5/9,34.09673454
2021/5/10,33.92639174
2021/5/11,32.81266048
2021/5/12,32.20838266
2021/5/13,31.67826717
2021/5/14,31.75255544
2021/5/15,31.67166571
2021/5/16,31.34716441
2021/5/17,31.46959
2021/5/18,30.57854464
2021/5/19,30.18312987
2021/5/20,30.07164246
2021/5/21,29.536759556
2021/5/22,29.588501683
2021/5/23,30.40025195
2021/5/24,29.705796666
2021/5/25,29.367067268
2021/5/26,29.391228156
2021/5/27,29.433237321
2021/5/28,29.902699729
2021/5/29,28.953575708
2021/5/30,29.609989383
2021/5/31,30.22743488
2021/6/1,30.6405605
2021/6/2,30.28404422
2021/6/3,30.3536736
2021/6/4,29.671806566
2021/6/5,30.4729131
2021/6/6,30.22551668
2021/6/7,30.61919475
2021/6/8,31.31362277
2021/6/9,31.17388294
2021/6/10,31.1531987
2021/6/11,30.78657206
2021/6/12,30.64144724
2021/6/13,30.24076101
2021/6/14,30.71660628
2021/6/15,29.576781659
2021/6/16,29.682351566
2021/6/17,29.625287518
2021/6/18,29.589561302
2021/6/19,30.39813707
2021/6/20,29.607659453
2021/6/21,29.342017647
2021/6/22,29.44879873
2021/6/23,29.49438776
2021/6/24,30.99302206
2021/6/25,30.1297319
2021/6/26,31.02648977
2021/6/27,30.71109454
2021/6/28,31.59133613
2021/6/29,31.46003927
2021/6/30,31.43370402
2021/7/1,32.12468765
2021/7/2,32.61058351
2021/7/3,33.04710503
2021/7/4,31.57428948
2021/7/5,32.20009492
2021/7/6,31.56924831
2021/7/7,31.60137908
2021/7/8,30.82424749
2021/7/9,30.87333646
2021/7/10,30.88813316
2021/7/11,31.20823294
2021/7/12,31.50485715
2021/7/13,30.88400139
2021/7/14,30.97422381
2021/7/15,31.04991077
2021/7/16,30.99325046
2021/7/17,32.27165329
2021/7/18,32.4957726
2021/7/19,31.80611859
2021/7/20,31.86808661
2021/7/21,30.92662835
2021/7/22,31.14546693
2021/7/23,31.00924218
2021/7/24,30.9556621
2021/7/25,31.54307301
2021/7/26,31.395755790000003
2021/7/27,32.45919612
2021/7/28,32.52261542
2021/7/29,31.94975865
2021/7/30,31.86772686
2021/7/31,31.83523778
2021/8/1,31.50760099
2021/8/2,31.85031757
2021/8/3,31.77094908
2021/8/4,32.12997843
2021/8/5,31.87787287
2021/8/6,32.01477647
2021/8/7,32.61058299
2021/8/8,32.31571249
2021/8/9,32.66573014
2021/8/10,32.91923192
2021/8/11,32.47548777
2021/8/12,32.163259
2021/8/13,32.70540004
2021/8/14,32.68491245
2021/8/15,32.93869579
2021/8/16,32.17589584
2021/8/17,32.00690118
2021/8/18,32.06161313
2021/8/19,32.00778909
2021/8/20,32.29896874
2021/8/21,32.5911549
2021/8/22,32.76711249
